month,quarter,season_num,boe_rate,cpi,is_new_build,is_freehold,county_median,town_median,type_F,type_S,type_T,price
7,3,2,4.25,3.2,0,1,235000.0,193750.0,False,False,False,500000
2,1,0,4.5,2.8,0,1,237500.0,225000.0,False,False,True,180000
1,1,0,4.75,3.0,0,1,200000.0,175000.0,False,False,False,518000
3,1,1,4.5,2.6,0,1,370000.0,350000.0,False,False,True,320000
11,4,3,4.0,2.9,0,1,180000.0,300000.0,False,False,False,635000
8,3,2,4.25,3.1,0,1,455000.0,835000.0,False,False,False,3000000
10,4,3,4.0,3.0,0,1,237500.0,233500.0,False,False,False,530000
4,2,1,4.25,3.5,0,1,200000.0,218000.0,False,False,True,215000
4,2,1,4.25,3.5,0,1,270000.0,323000.0,False,True,False,225000
9,3,3,4.0,3.0,0,1,215500.0,170000.0,False,False,True,175000
1,1,0,4.75,3.0,0,1,215000.0,167500.0,False,False,True,120000
1,1,0,4.75,3.0,0,1,216975.0,220000.0,False,True,False,215000
3,1,1,4.5,2.6,0,1,240500.0,250000.0,False,True,False,640000
5,2,1,4.25,3.4,0,1,280000.0,268000.0,False,False,False,448000
10,4,3,4.0,3.0,0,1,290000.0,308000.0,False,True,False,382500
9,3,3,4.0,3.0,0,1,250000.0,280000.0,False,False,False,330000
2,1,0,4.5,2.8,0,1,545000.0,515000.0,False,False,False,600000
4,2,1,4.25,3.5,0,1,280000.0,230000.0,False,True,False,240000
8,3,2,4.25,3.1,0,1,192500.0,225000.0,False,True,False,302500
5,2,1,4.25,3.4,0,0,365000.0,470000.0,False,False,True,315000
3,1,1,4.5,2.6,0,1,338000.0,500000.0,False,False,False,345000
6,2,2,4.25,3.3,0,0,160000.0,182000.0,True,False,False,64000
7,3,2,4.25,3.2,0,1,235000.0,202750.0,False,True,False,170000
7,3,2,4.25,3.2,0,0,455000.0,387500.0,False,True,False,305000
12,4,0,4.0,2.8,0,1,312500.0,325000.0,False,False,False,298000
11,4,3,4.0,2.9,0,1,335000.0,350000.0,False,True,False,340000
7,3,2,4.25,3.2,0,0,195000.0,220000.0,False,False,True,227500
2,1,0,4.5,2.8,0,1,460000.0,650000.0,False,False,False,1640000
10,4,3,4.0,3.0,0,1,350000.0,415000.0,False,False,True,368000
4,2,1,4.25,3.5,0,0,527500.0,574000.0,True,False,False,250000
7,3,2,4.25,3.2,0,1,237500.0,227000.0,False,False,True,160000
6,2,2,4.25,3.3,0,1,237500.0,257750.0,False,False,True,475000
3,1,1,4.5,2.6,0,1,199950.0,207500.0,False,True,False,270000
3,1,1,4.5,2.6,0,1,250000.0,300000.0,False,False,True,260000
12,4,0,4.0,2.8,0,1,407500.0,375000.0,False,False,False,534000
2,1,0,4.5,2.8,0,1,160000.0,145000.0,False,False,False,275000
9,3,3,4.0,3.0,0,1,505000.0,432500.0,False,False,True,775000
7,3,2,4.25,3.2,0,1,375000.0,485000.0,False,False,True,520000
3,1,1,4.5,2.6,0,0,237500.0,233500.0,True,False,False,176000
8,3,2,4.25,3.1,0,1,355000.0,437750.0,False,False,False,340000
9,3,3,4.0,3.0,0,1,312500.0,315000.0,False,False,True,310000
6,2,2,4.25,3.3,0,1,455000.0,387500.0,False,False,True,340000
4,2,1,4.25,3.5,0,1,237500.0,207000.0,False,False,True,136666
7,3,2,4.25,3.2,0,0,527500.0,396000.0,True,False,False,255000
